,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ARRIVAL_DELAY
340,BDL,DEN,105
341,BDL,DFW,220
342,BDL,DTW,308
343,BDL,EWR,148
344,BDL,FLL,296
345,BDL,IAD,69
346,BDL,IAH,2
347,BDL,LAS,73
348,BDL,MCO,518
349,BDL,MDW,291
350,BDL,MIA,154
351,BDL,MSP,211
352,BDL,ORD,525
353,BDL,PBI,173
354,BDL,RDU,42
355,BDL,RSW,111
356,BDL,SJU,186
357,BDL,TPA,270
358,BET,ANC,328
359,BFL,DEN,184
360,BFL,IAH,160
361,BFL,PHX,314
362,BFL,SFO,193
363,BGM,DTW,70
364,BGR,DTW,103
365,BGR,LGA,17
366,BHM,ATL,814
367,BHM,BWI,250
368,BHM,DAL,193
369,BHM,DEN,127
370,BHM,DFW,248
371,BHM,DTW,241
372,BHM,HOU,171
373,BHM,IAH,644
374,BHM,LAS,96
375,BHM,LGA,171
376,BHM,MCO,245
377,BHM,MDW,188
378,BHM,MIA,205
379,BHM,ORD,450
380,BHM,TPA,182
381,BIL,DEN,294
382,BIL,MSP,101
383,BIL,ORD,9
384,BIL,SEA,3
385,BIL,SLC,226
386,BIS,DEN,413
387,BIS,DFW,100
388,BIS,MSP,589
389,BIS,ORD,95
390,BJI,MSP,172
391,BLI,HNL,40
392,BLI,LAS,53
393,BLI,OGG,18
394,BLI,SEA,118
395,BMI,ATL,332
396,BMI,DEN,2
397,BMI,DFW,209
398,BMI,DTW,44
399,BMI,MCO,27
400,BMI,MSP,52
401,BMI,ORD,249
402,BNA,ATL,1001
403,BNA,AUS,240
404,BNA,BOS,268
405,BNA,BWI,747
406,BNA,CHS,134
407,BNA,CLE,268
408,BNA,CLT,566
409,BNA,CMH,297
410,BNA,CVG,112
411,BNA,DAL,275
412,BNA,DCA,205
413,BNA,DEN,634
414,BNA,DFW,805
415,BNA,DTW,722
416,BNA,ECP,215
417,BNA,EWR,664
418,BNA,FLL,284
419,BNA,HOU,455
420,BNA,IAD,10
421,BNA,IAH,461
422,BNA,JAX,353
423,BNA,JFK,121
424,BNA,LAS,186
425,BNA,LAX,576
426,BNA,LGA,1031
427,BNA,MCI,376
428,BNA,MCO,567
429,BNA,MDW,761
430,BNA,MIA,26
431,BNA,MOB,1
432,BNA,MSP,340
433,BNA,MSY,324
434,BNA,OAK,71
435,BNA,ORD,1276
436,BNA,PHL,284
437,BNA,PHX,229
438,BNA,PIT,118
439,BNA,PNS,217
440,BNA,RDU,337
441,BNA,RSW,29
442,BNA,SAN,125
443,BNA,SAT,149
444,BNA,SEA,60
445,BNA,SLC,95
446,BNA,STL,212
447,BNA,TPA,520
448,BNA,TTN,1
449,BOI,DEN,710
450,BOI,GEG,197
451,BOI,IAH,130
452,BOI,LAS,297
453,BOI,LAX,291
454,BOI,MDW,27
455,BOI,MSP,209
456,BOI,OAK,162
457,BOI,ORD,255
458,BOI,PDX,39
459,BOI,PHX,383
460,BOI,SAN,114
461,BOI,SEA,390
462,BOI,SFO,554
463,BOI,SLC,389
464,BOS,ACK,43
465,BOS,ACY,69
466,BOS,ATL,1457
467,BOS,AUS,104
468,BOS,BNA,178
469,BOS,BUF,350
470,BOS,BWI,1533
471,BOS,CAK,140
472,BOS,CHS,104
473,BOS,CLE,398
474,BOS,CLT,1400
475,BOS,CMH,38
476,BOS,CVG,133
477,BOS,DAL,21
478,BOS,DCA,2530
479,BOS,DEN,1008
480,BOS,DFW,1003
481,BOS,DTW,1088
482,BOS,EWR,1418
483,BOS,FLL,1045
484,BOS,HOU,286
485,BOS,IAD,617
486,BOS,IAH,623
487,BOS,IND,55
488,BOS,JAX,239
489,BOS,JFK,1868
490,BOS,LAS,485
491,BOS,LAX,1511
492,BOS,LGA,2746
493,BOS,LGB,124
494,BOS,MCI,190
495,BOS,MCO,1132
496,BOS,MDW,503
497,BOS,MIA,820
498,BOS,MKE,235
499,BOS,MSP,651
500,BOS,MSY,133
501,BOS,MVY,27
502,BOS,MYR,109
503,BOS,OAK,53
504,BOS,ORD,2417
505,BOS,PBI,745
506,BOS,PDX,164
507,BOS,PHL,1606
508,BOS,PHX,623
509,BOS,PIT,352
510,BOS,RDU,510
511,BOS,RIC,874
512,BOS,RSW,637
513,BOS,SAN,311
514,BOS,SAV,111
515,BOS,SEA,662
516,BOS,SFO,1554
517,BOS,SJC,91
518,BOS,SJU,525
519,BOS,SLC,200
520,BOS,SMF,30
521,BOS,SRQ,85
522,BOS,STL,271
523,BOS,STT,71
524,BOS,TPA,429
525,BPT,DFW,407
526,BQK,ATL,293
527,BQN,EWR,143
528,BQN,FLL,81
529,BQN,JFK,114
530,BQN,MCO,116
531,BRD,MSP,201
532,BRO,DFW,315
533,BRO,IAH,328
534,BRW,ANC,91
535,BRW,FAI,147
536,BRW,SCC,58
537,BTM,SLC,99
538,BTR,ATL,1249
539,BTR,DCA,1
540,BTR,DFW,1077
541,BTR,IAH,748
542,BTV,ATL,96
543,BTV,DTW,237
544,BTV,EWR,233
545,BTV,IAD,6
546,BTV,JFK,252
547,BTV,LGA,18
548,BTV,ORD,202
549,BUF,ATL,310
550,BUF,BOS,317
551,BUF,BWI,565
552,BUF,CLT,428
553,BUF,DTW,241
554,BUF,EWR,189
555,BUF,FLL,135
556,BUF,IAD,9
557,BUF,JFK,692
558,BUF,LAS,122
559,BUF,LGA,116
560,BUF,MCO,374
561,BUF,MDW,341
562,BUF,MSP,42
563,BUF,ORD,696
564,BUF,PHX,76
565,BUF,RSW,20
566,BUF,TPA,107
567,BUR,DEN,414
568,BUR,JFK,132
569,BUR,LAS,1062
570,BUR,OAK,1252
571,BUR,PDX,181
572,BUR,PHX,633
573,BUR,SEA,312
574,BUR,SFO,583
575,BUR,SJC,660
576,BUR,SLC,207
577,BUR,SMF,597
578,BWI,ABQ,179
579,BWI,ALB,785
580,BWI,ATL,1903
581,BWI,AUS,239
582,BWI,BDL,1065
583,BWI,BHM,200
584,BWI,BNA,790
585,BWI,BOS,1840
586,BWI,BUF,845
