,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO
545,BTM,SLC,647,99,0.153
546,BTR,ATL,2478,1249,0.504
547,BTR,DCA,1,1,1.0
548,BTR,DFW,2233,1077,0.482
549,BTR,IAH,2271,748,0.329
550,BTV,ATL,298,96,0.322
551,BTV,DTW,515,237,0.46
552,BTV,EWR,503,233,0.463
553,BTV,IAD,7,6,0.857
554,BTV,JFK,996,252,0.253
555,BTV,LGA,45,18,0.4
556,BTV,ORD,520,202,0.388
557,BUF,ATL,1561,310,0.199
558,BUF,BOS,1220,317,0.26
559,BUF,BWI,1765,565,0.32
560,BUF,CLT,1190,428,0.36
561,BUF,DTW,825,241,0.292
562,BUF,EWR,507,189,0.373
563,BUF,FLL,581,135,0.232
564,BUF,IAD,35,9,0.257
565,BUF,JFK,2394,692,0.289
566,BUF,LAS,542,122,0.225
567,BUF,LGA,331,116,0.35
568,BUF,MCO,1517,374,0.247
569,BUF,MDW,936,341,0.364
570,BUF,MSP,197,42,0.213
571,BUF,ORD,1916,696,0.363
572,BUF,PHX,331,76,0.23
573,BUF,RSW,77,20,0.26
574,BUF,TPA,551,107,0.194
575,BUR,DEN,1223,414,0.339
576,BUR,JFK,302,132,0.437
577,BUR,LAS,3023,1062,0.351
578,BUR,OAK,3627,1252,0.345
579,BUR,PDX,951,181,0.19
580,BUR,PHX,1879,633,0.337
581,BUR,SEA,1009,312,0.309
582,BUR,SFO,1545,583,0.377
583,BUR,SJC,2069,660,0.319
584,BUR,SLC,827,207,0.25
585,BUR,SMF,2072,597,0.288
586,BWI,ABQ,504,179,0.355
587,BWI,ALB,1661,785,0.473
588,BWI,ATL,5748,1903,0.331
589,BWI,AUS,619,239,0.386
590,BWI,BDL,2137,1065,0.498
591,BWI,BHM,579,200,0.345
592,BWI,BNA,1838,790,0.43
593,BWI,BOS,4292,1840,0.429
594,BWI,BUF,1766,845,0.478
595,BWI,CHS,1001,441,0.441
596,BWI,CLE,1173,504,0.43
597,BWI,CLT,3320,1405,0.423
598,BWI,CMH,1385,588,0.425
599,BWI,CVG,6,2,0.333
600,BWI,DAL,1071,427,0.399
601,BWI,DAY,676,292,0.432
602,BWI,DEN,1872,719,0.384
603,BWI,DFW,1731,636,0.367
604,BWI,DTW,2392,873,0.365
605,BWI,ECP,208,86,0.413
606,BWI,EWR,233,94,0.403
607,BWI,FLL,3914,1671,0.427
608,BWI,FNT,524,230,0.439
609,BWI,GRR,632,257,0.407
610,BWI,GSP,370,142,0.384
611,BWI,HOU,1038,382,0.368
