,ORIGIN_AIRPORT,DESTINATION_AIRPORT,TOTAL_FLIGHTS,ARRIVAL_DELAY,DELAY_RATIO
1472,DTW,SLC,1384,428,0.309
1473,DTW,SRQ,75,19,0.253
1474,DTW,STL,1324,391,0.295
1475,DTW,SWF,19,12,0.632
1476,DTW,SYR,257,86,0.335
1477,DTW,TPA,2123,700,0.33
1478,DTW,TTN,215,71,0.33
1479,DTW,TUL,223,98,0.439
1480,DTW,TVC,752,198,0.263
1481,DTW,TYS,66,21,0.318
1482,DVL,DEN,220,75,0.341
1483,DVL,JMS,246,92,0.374
1484,EAU,ORD,634,215,0.339
1485,ECP,ATL,2011,473,0.235
1486,ECP,BNA,588,123,0.209
1487,ECP,BWI,208,52,0.25
1488,ECP,DAL,152,24,0.158
1489,ECP,HOU,488,104,0.213
1490,ECP,IAH,528,126,0.239
1491,ECP,STL,164,62,0.378
1492,EGE,ATL,97,28,0.289
1493,EGE,DEN,6,5,0.833
1494,EGE,DFW,420,139,0.331
1495,EGE,EWR,105,46,0.438
1496,EGE,IAH,132,55,0.417
1497,EGE,JFK,105,42,0.4
1498,EGE,LAX,104,43,0.413
1499,EGE,MIA,123,61,0.496
1500,EGE,MSP,1,1,1.0
1501,EGE,ORD,102,43,0.422
1502,EGE,SLC,3,2,0.667
1503,EKO,SLC,517,112,0.217
1504,ELM,ATL,15,10,0.667
1505,ELM,DTW,1411,502,0.356
1506,ELM,ORD,581,252,0.434
1507,ELP,ATL,695,198,0.285
1508,ELP,AUS,854,308,0.361
1509,ELP,DAL,1257,511,0.407
1510,ELP,DEN,860,281,0.327
1511,ELP,DFW,1330,433,0.326
1512,ELP,HOU,910,360,0.396
1513,ELP,IAH,1564,510,0.326
1514,ELP,LAS,650,235,0.362
1515,ELP,LAX,906,382,0.422
1516,ELP,ORD,549,178,0.324
1517,ELP,PHX,1445,603,0.417
1518,ELP,SAT,786,309,0.393
1519,ERI,DTW,98,35,0.357
1520,ERI,ORD,610,249,0.408
1521,ESC,DTW,554,126,0.227
1522,EUG,BOI,1,1,1.0
1523,EUG,DEN,614,243,0.396
1524,EUG,LAX,507,181,0.357
1525,EUG,SFO,1813,605,0.334
1526,EUG,SLC,623,82,0.132
1527,EVV,ATL,946,332,0.351
1528,EVV,DFW,349,123,0.352
1529,EVV,DTW,765,250,0.327
1530,EVV,ORD,1647,645,0.392
1531,EWN,ATL,565,208,0.368
1532,EWR,ALB,163,46,0.282
1533,EWR,ANC,7,3,0.429
1534,EWR,ATL,4984,1315,0.264
1535,EWR,AUS,905,295,0.326
1536,EWR,AVL,165,57,0.345
1537,EWR,AVP,51,15,0.294
1538,EWR,BDL,422,124,0.294
1539,EWR,BNA,1842,705,0.383
1540,EWR,BOS,4322,1538,0.356
1541,EWR,BQN,285,163,0.572
1542,EWR,BTV,535,207,0.387
1543,EWR,BUF,506,163,0.322
1544,EWR,BWI,233,87,0.373
1545,EWR,BZN,48,27,0.562
1546,EWR,CAK,110,37,0.336
1547,EWR,CHS,1203,437,0.363
1548,EWR,CLE,1554,583,0.375
1549,EWR,CLT,4013,1326,0.33
1550,EWR,CMH,861,305,0.354
1551,EWR,CVG,1430,501,0.35
1552,EWR,DAY,705,282,0.4
1553,EWR,DCA,1377,575,0.418
1554,EWR,DEN,2592,973,0.375
1555,EWR,DFW,2509,799,0.318
1556,EWR,DSM,194,103,0.531
1557,EWR,DTW,2073,636,0.307
1558,EWR,EGE,107,51,0.477
1559,EWR,FLL,3370,1275,0.378
1560,EWR,GRR,327,143,0.437
1561,EWR,GSO,807,316,0.392
1562,EWR,GSP,646,277,0.429
1563,EWR,HDN,17,10,0.588
1564,EWR,HNL,327,120,0.367
1565,EWR,HOU,835,221,0.265
1566,EWR,IAD,684,268,0.392
1567,EWR,IAH,3265,1389,0.425
1568,EWR,IND,1159,440,0.38
1569,EWR,JAC,40,25,0.625
1570,EWR,JAX,974,385,0.395
1571,EWR,JFK,0,0,
1572,EWR,LAS,1678,538,0.321
1573,EWR,LAX,4532,1837,0.405
1574,EWR,MCI,626,241,0.385
1575,EWR,MCO,4693,1842,0.392
1576,EWR,MDW,1703,571,0.335
1577,EWR,MEM,964,340,0.353
1578,EWR,MHT,677,234,0.346
1579,EWR,MIA,2663,924,0.347
1580,EWR,MKE,1028,399,0.388
1581,EWR,MSN,310,120,0.387
1582,EWR,MSP,1248,448,0.359
1583,EWR,MSY,1066,299,0.28
1584,EWR,MTJ,22,11,0.5
1585,EWR,MYR,8,4,0.5
1586,EWR,OKC,144,84,0.583
1587,EWR,OMA,545,200,0.367
1588,EWR,ORD,3594,1439,0.4
1589,EWR,ORF,636,236,0.371
1590,EWR,PBI,2518,1006,0.4
1591,EWR,PDX,318,158,0.497
1592,EWR,PHL,2,1,0.5
1593,EWR,PHX,2060,771,0.374
1594,EWR,PIT,407,133,0.327
1595,EWR,PVD,376,143,0.38
1596,EWR,PWM,562,247,0.44
1597,EWR,RDU,871,372,0.427
1598,EWR,RIC,911,408,0.448
1599,EWR,ROC,719,197,0.274
1600,EWR,RSW,1360,468,0.344
1601,EWR,SAN,967,294,0.304
1602,EWR,SAT,250,91,0.364
1603,EWR,SAV,624,252,0.404
1604,EWR,SBN,299,122,0.408
1605,EWR,SDF,582,257,0.442
1606,EWR,SEA,1471,437,0.297
1607,EWR,SFO,4945,1869,0.378
1608,EWR,SJU,1181,544,0.461
1609,EWR,SLC,290,90,0.31
1610,EWR,SNA,710,218,0.307
1611,EWR,SRQ,97,50,0.515
1612,EWR,STL,1729,669,0.387
1613,EWR,STT,236,78,0.331
1614,EWR,SYR,476,144,0.303
1615,EWR,TPA,2076,778,0.375
1616,EWR,TUL,3,3,1.0
1617,EWR,TVC,26,12,0.462
1618,EWR,TYS,278,136,0.489
1619,EWR,XNA,213,69,0.324
1620,EYW,ATL,1404,338,0.241
1621,EYW,LGA,1,1,1.0
1622,EYW,MIA,535,168,0.314
1623,FAI,ANC,663,181,0.273
1624,FAI,MSP,123,51,0.415
1625,FAI,ORD,73,57,0.781
1626,FAI,SEA,1310,399,0.305
1627,FAR,ATL,39,10,0.256
1628,FAR,DEN,1203,421,0.35
1629,FAR,DFW,351,111,0.316
1630,FAR,JMS,0,0,
1631,FAR,MSP,1709,593,0.347
1632,FAR,ORD,2023,790,0.391
1633,FAR,SLC,241,64,0.266
1634,FAT,DEN,996,403,0.405
1635,FAT,DFW,601,260,0.433
1636,FAT,LAX,1676,907,0.541
1637,FAT,PDX,99,23,0.232
1638,FAT,PHX,466,156,0.335
1639,FAT,SAN,195,53,0.272
1640,FAT,SEA,873,349,0.4
1641,FAT,SFO,1164,423,0.363
1642,FAT,SLC,854,235,0.275
1643,FAY,ATL,1612,570,0.354
1644,FCA,ATL,24,5,0.208
1645,FCA,DEN,760,242,0.318
1646,FCA,MSO,1,1,1.0
1647,FCA,MSP,203,55,0.271
1648,FCA,ORD,127,57,0.449
1649,FCA,SLC,881,166,0.188
1650,FLG,PHX,1610,665,0.413
1651,FLL,ACY,809,384,0.475
1652,FLL,ALB,343,76,0.222
1653,FLL,ATL,7364,1912,0.26
1654,FLL,AUS,781,265,0.339
1655,FLL,BDL,932,402,0.431
1656,FLL,BNA,764,202,0.264
1657,FLL,BOS,2140,991,0.463
1658,FLL,BQN,163,104,0.638
1659,FLL,BUF,580,185,0.319
1660,FLL,BWI,3894,1197,0.307
1661,FLL,CHS,43,13,0.302
1662,FLL,CLE,826,274,0.332
1663,FLL,CLT,2409,701,0.291
1664,FLL,CMH,311,102,0.328
1665,FLL,CVG,491,147,0.299
1666,FLL,DAL,856,197,0.23
1667,FLL,DCA,2428,884,0.364
1668,FLL,DEN,1200,363,0.302
1669,FLL,DFW,2656,837,0.315
1670,FLL,DTW,2618,730,0.279
1671,FLL,EWR,3362,1168,0.347
1672,FLL,HOU,676,137,0.203
1673,FLL,HPN,651,217,0.333
1674,FLL,IAD,79,54,0.684
1675,FLL,IAG,198,100,0.505
1676,FLL,IAH,1836,519,0.283
1677,FLL,IND,307,53,0.173
1678,FLL,ISP,544,209,0.384
1679,FLL,JAX,723,247,0.342
1680,FLL,JFK,4315,1659,0.384
1681,FLL,LAS,1031,323,0.313
1682,FLL,LAX,1742,725,0.416
1683,FLL,LBE,272,84,0.309
1684,FLL,LGA,5145,2217,0.431
1685,FLL,MCI,326,65,0.199
1686,FLL,MCO,667,290,0.435
1687,FLL,MDW,1126,298,0.265
1688,FLL,MHT,7,3,0.429
1689,FLL,MKE,365,79,0.216
1690,FLL,MSP,607,210,0.346
1691,FLL,MSY,929,218,0.235
1692,FLL,MYR,370,131,0.354
1693,FLL,ORD,2503,926,0.37
1694,FLL,ORH,319,116,0.364
1695,FLL,PBG,230,134,0.583
1696,FLL,PHL,1880,736,0.391
1697,FLL,PHX,672,183,0.272
1698,FLL,PIT,763,266,0.349
1699,FLL,PVD,769,253,0.329
1700,FLL,RDU,623,241,0.387
1701,FLL,RIC,329,168,0.511
1702,FLL,SEA,333,149,0.447
1703,FLL,SFO,1231,397,0.323
1704,FLL,SJU,2777,1144,0.412
1705,FLL,STL,486,109,0.224
1706,FLL,STT,307,138,0.45
1707,FLL,SWF,332,147,0.443
1708,FLL,TPA,1915,625,0.326
1709,FLL,TTN,225,68,0.302
1710,FNT,ATL,947,159,0.168
1711,FNT,BWI,524,136,0.26
1712,FNT,LAS,334,91,0.272
1713,FNT,MCO,337,44,0.131
1714,FNT,MSP,438,156,0.356
1715,FNT,ORD,1773,575,0.324
1716,FNT,RSW,48,18,0.375
1717,FNT,TPA,228,48,0.211
1718,FSD,ATL,326,89,0.273
1719,FSD,DEN,1302,563,0.432
1720,FSD,DFW,329,163,0.495
1721,FSD,LAR,0,0,
1722,FSD,LNK,0,0,
1723,FSD,MSP,1264,487,0.385
1724,FSD,ORD,1936,809,0.418
1725,FSM,ATL,667,251,0.376
1726,FSM,DFW,1243,430,0.346
1727,FWA,ATL,1086,444,0.409
1728,FWA,DFW,624,188,0.301
1729,FWA,DTW,952,370,0.389
1730,FWA,MSP,273,124,0.454
1731,FWA,ORD,2144,776,0.362
1732,GCC,DEN,627,160,0.255
1733,GCC,RAP,0,0,
1734,GCC,RKS,24,2,0.083
1735,GCC,SLC,331,57,0.172
1736,GCK,DFW,637,226,0.355
1737,GEG,BOI,573,175,0.305
1738,GEG,DEN,1325,375,0.283
1739,GEG,LAS,644,221,0.343
1740,GEG,LAX,156,66,0.423
1741,GEG,MDW,62,11,0.177
1742,GEG,MSP,769,244,0.317
1743,GEG,OAK,642,213,0.332
1744,GEG,PHX,918,241,0.263
1745,GEG,SEA,3155,1305,0.414
1746,GEG,SLC,1196,314,0.263
1747,GFK,MSP,714,272,0.381
1748,GGG,DFW,613,268,0.437
1749,GJT,ASE,0,0,
1750,GJT,DEN,449,139,0.31
1751,GJT,DFW,817,238,0.291
1752,GJT,IAH,250,104,0.416
1753,GJT,PHX,988,331,0.335
1754,GJT,SLC,618,121,0.196
1755,GNV,ATL,2066,884,0.428
1756,GNV,MIA,569,175,0.308
1757,GPT,ATL,1400,371,0.265
1758,GPT,DFW,890,307,0.345
1759,GPT,IAH,1224,361,0.295
1760,GRB,ATL,397,124,0.312
1761,GRB,DTW,645,165,0.256
1762,GRB,MSP,1050,348,0.331
1763,GRB,ORD,2628,1042,0.396
1764,GRI,DFW,607,164,0.27
1765,GRK,ATL,584,295,0.505
1766,GRK,DFW,2500,797,0.319
1767,GRK,IAH,785,227,0.289
1768,GRK,MEI,0,0,
1769,GRR,ATL,1282,197,0.154
1770,GRR,BWI,635,208,0.328
1771,GRR,CVG,169,54,0.32
1772,GRR,DEN,763,278,0.364
1773,GRR,DFW,721,318,0.441
1774,GRR,DTW,1391,351,0.252
1775,GRR,EWR,450,150,0.333
1776,GRR,IAH,284,127,0.447
1777,GRR,LGA,203,58,0.286
1778,GRR,MCO,304,80,0.263
1779,GRR,MSP,1071,318,0.297
1780,GRR,ORD,2690,953,0.354
1781,GRR,RSW,100,23,0.23
1782,GRR,STL,320,53,0.166
1783,GRR,TPA,158,32,0.203
1784,GSO,ATL,2647,779,0.294
1785,GSO,CLT,142,26,0.183
1786,GSO,CRW,0,0,
1787,GSO,DEN,132,52,0.394
1788,GSO,DFW,485,215,0.443
1789,GSO,DTW,401,148,0.369
1790,GSO,EWR,808,283,0.35
1791,GSO,IAD,59,12,0.203
1792,GSO,LGA,1162,549,0.472
1793,GSO,MIA,144,43,0.299
1794,GSO,ORD,482,155,0.322
1795,GSO,ROA,0,0,
1796,GSP,ATL,2450,693,0.283
1797,GSP,BWI,369,185,0.501
1798,GSP,DCA,3,1,0.333
1799,GSP,DFW,458,172,0.376
1800,GSP,DTW,213,54,0.254
1801,GSP,EWR,656,250,0.381
1802,GSP,HOU,313,94,0.3
1803,GSP,IAD,8,3,0.375
1804,GSP,IAH,489,140,0.286
1805,GSP,LGA,8,4,0.5
1806,GSP,MDW,615,202,0.328
1807,GSP,MIA,1,1,1.0
1808,GSP,ORD,797,312,0.391
1809,GSP,RIC,0,0,
1810,GST,JNU,76,51,0.671
1811,GTF,DEN,757,237,0.313
1812,GTF,MSP,302,81,0.268
1813,GTF,SLC,885,194,0.219
1814,GTR,ATL,912,351,0.385
1815,GUC,DEN,264,108,0.409
1816,GUC,DFW,121,48,0.397
1817,GUC,IAH,68,22,0.324
1818,GUC,ORD,19,11,0.579
1819,GUM,HNL,331,136,0.411
1820,HDN,ATL,95,31,0.326
1821,HDN,DEN,92,47,0.511
1822,HDN,DFW,132,48,0.364
1823,HDN,EWR,17,6,0.353
1824,HDN,IAD,15,5,0.333
1825,HDN,IAH,191,54,0.283
1826,HDN,LAX,61,31,0.508
1827,HDN,ORD,23,13,0.565
1828,HDN,SEA,48,20,0.417
1829,HDN,SFO,12,2,0.167
1830,HIB,INL,323,68,0.211
1831,HIB,MSP,555,187,0.337
1832,HLN,DEN,327,112,0.343
1833,HLN,MSP,227,31,0.137
1834,HLN,SLC,865,194,0.224
1835,HNL,ANC,275,58,0.211
1836,HNL,ATL,332,122,0.367
1837,HNL,BLI,152,16,0.105
1838,HNL,DEN,330,101,0.306
1839,HNL,DFW,687,220,0.32
1840,HNL,EWR,321,77,0.24
1841,HNL,GUM,331,198,0.598
1842,HNL,IAD,166,51,0.307
1843,HNL,IAH,328,157,0.479
1844,HNL,ITO,4786,1866,0.39
1845,HNL,JFK,314,158,0.503
1846,HNL,KOA,6379,2218,0.348
1847,HNL,LAS,811,284,0.35
1848,HNL,LAX,5197,1552,0.299
1849,HNL,LIH,5850,2029,0.347
1850,HNL,MSP,45,4,0.089
1851,HNL,OAK,519,179,0.345
1852,HNL,OGG,8246,3277,0.397
1853,HNL,ORD,328,90,0.274
1854,HNL,PDX,713,277,0.388
1855,HNL,PHX,1120,436,0.389
1856,HNL,PPG,107,41,0.383
1857,HNL,SAN,634,228,0.36
1858,HNL,SEA,1734,700,0.404
1859,HNL,SFO,2032,659,0.324
1860,HNL,SJC,554,234,0.422
1861,HNL,SLC,323,42,0.13
1862,HNL,SMF,332,189,0.569
1863,HOB,IAH,547,147,0.269
1864,HOU,ABQ,941,421,0.447
1865,HOU,ATL,4016,1530,0.381
1866,HOU,AUS,1290,648,0.502
1867,HOU,BHM,605,348,0.575
1868,HOU,BNA,1212,602,0.497
1869,HOU,BOS,905,407,0.45
1870,HOU,BWI,1024,388,0.379
1871,HOU,CHS,338,169,0.5
1872,HOU,CLT,374,197,0.527
1873,HOU,CRP,1233,556,0.451
1874,HOU,DAL,6069,2749,0.453
1875,HOU,DCA,1213,501,0.413
1876,HOU,DEN,1753,545,0.311
1877,HOU,DFW,1502,606,0.403
1878,HOU,ECP,486,219,0.451
1879,HOU,ELP,894,399,0.446
1880,HOU,EWR,840,336,0.4
1881,HOU,FLL,677,360,0.532
1882,HOU,GSP,318,186,0.585
1883,HOU,HRL,1533,587,0.383
1884,HOU,IND,536,259,0.483
1885,HOU,JAX,370,233,0.63
1886,HOU,JFK,331,144,0.435
1887,HOU,LAS,1416,395,0.279
1888,HOU,LAX,1531,637,0.416
1889,HOU,LBB,6,4,0.667
1890,HOU,LGA,897,433,0.483
1891,HOU,MAF,1110,454,0.409
1892,HOU,MCI,615,247,0.402
1893,HOU,MCO,1386,717,0.517
1894,HOU,MDW,2034,770,0.379
1895,HOU,MEM,619,326,0.527
1896,HOU,MSY,3001,1198,0.399
1897,HOU,OAK,630,199,0.316
1898,HOU,OKC,1173,501,0.427
1899,HOU,PDX,63,20,0.317
1900,HOU,PHX,1381,488,0.353
1901,HOU,PIT,330,144,0.436
1902,HOU,PNS,329,196,0.596
1903,HOU,RDU,500,268,0.536
1904,HOU,RSW,18,10,0.556
1905,HOU,SAN,681,274,0.402
1906,HOU,SAT,1288,671,0.521
1907,HOU,SEA,147,72,0.49
1908,HOU,SJU,38,22,0.579
1909,HOU,SLC,9,8,0.889
1910,HOU,SNA,383,127,0.332
1911,HOU,STL,1202,470,0.391
1912,HOU,TPA,964,537,0.557
1913,HOU,TUL,913,381,0.417
1914,HOU,TUS,8,4,0.5
1915,HPN,ATL,1808,916,0.507
1916,HPN,DCA,3,1,0.333
1917,HPN,DTW,131,60,0.458
1918,HPN,FLL,656,308,0.47
1919,HPN,MCO,1208,472,0.391
1920,HPN,ORD,1670,597,0.357
1921,HPN,PBI,1010,465,0.46
1922,HPN,RSW,321,77,0.24
1923,HPN,TPA,325,99,0.305
1924,HRL,AUS,322,95,0.295
1925,HRL,HOU,1526,462,0.303
1926,HRL,IAH,1173,289,0.246
1927,HSV,ATL,2442,705,0.289
1928,HSV,DCA,23,14,0.609
1929,HSV,DEN,164,63,0.384
1930,HSV,DFW,272,100,0.368
1931,HSV,DTW,89,27,0.303
1932,HSV,IAD,4,2,0.5
1933,HSV,IAH,873,279,0.32
1934,HSV,ORD,556,220,0.396
1935,HYA,JFK,82,21,0.256
1936,HYS,DEN,557,193,0.346
1937,IAD,ALB,0,0,
1938,IAD,ATL,2614,801,0.306
1939,IAD,AUS,152,64,0.421
1940,IAD,BDL,160,65,0.406
1941,IAD,BNA,30,21,0.7
1942,IAD,BOS,1980,659,0.333
1943,IAD,BTV,6,3,0.5
1944,IAD,BUF,37,15,0.405
1945,IAD,CAE,186,109,0.586
1946,IAD,CHS,4,4,1.0
1947,IAD,CLE,323,115,0.356
1948,IAD,CLT,10,3,0.3
1949,IAD,CMH,34,18,0.529
1950,IAD,CVG,75,19,0.253
1951,IAD,DAY,1,1,1.0
1952,IAD,DEN,3053,1082,0.354
1953,IAD,DFW,1307,417,0.319
1954,IAD,DTW,683,224,0.328
1955,IAD,EWR,681,296,0.435
1956,IAD,FLL,82,47,0.573
1957,IAD,GRR,4,3,0.75
1958,IAD,GSO,61,25,0.41
1959,IAD,GSP,8,2,0.25
1960,IAD,HDN,15,4,0.267
1961,IAD,HNL,166,75,0.452
1962,IAD,HSV,4,2,0.5
1963,IAD,IAH,1364,578,0.424
1964,IAD,IND,30,16,0.533
1965,IAD,JAC,18,9,0.5
1966,IAD,JAX,13,12,0.923
1967,IAD,JFK,911,322,0.353
1968,IAD,LAS,1167,446,0.382
1969,IAD,LAX,3569,1301,0.365
1970,IAD,LGA,172,81,0.471
1971,IAD,MCI,6,5,0.833
1972,IAD,MCO,1645,697,0.424
1973,IAD,MDW,657,177,0.269
1974,IAD,MEM,70,18,0.257
1975,IAD,MIA,801,381,0.476
1976,IAD,MSN,1,0,0.0
1977,IAD,MSP,582,165,0.284
1978,IAD,MSY,188,72,0.383
1979,IAD,OKC,4,4,1.0
1980,IAD,ORD,1702,638,0.375
1981,IAD,ORF,80,31,0.388
1982,IAD,PBI,56,23,0.411
1983,IAD,PDX,241,93,0.386
1984,IAD,PHX,328,133,0.405
1985,IAD,PIT,216,107,0.495
1986,IAD,PVD,57,31,0.544
1987,IAD,RDU,399,175,0.439
1988,IAD,RIC,34,15,0.441
1989,IAD,ROA,5,2,0.4
1990,IAD,ROC,112,52,0.464
1991,IAD,RSW,85,31,0.365
1992,IAD,SAN,1122,295,0.263
1993,IAD,SAT,20,4,0.2
1994,IAD,SAV,86,46,0.535
1995,IAD,SDF,6,4,0.667
1996,IAD,SEA,1064,320,0.301
1997,IAD,SFO,3580,1121,0.313
1998,IAD,SJU,170,72,0.424
1999,IAD,SMF,233,113,0.485
2000,IAD,STL,9,8,0.889
2001,IAD,STT,151,44,0.291
2002,IAD,SYR,23,14,0.609
2003,IAD,TPA,981,384,0.391
2004,IAD,TTN,1,1,1.0
2005,IAD,TUL,5,4,0.8
2006,IAD,TYS,21,13,0.619
2007,IAD,UST,3,1,0.333
2008,IAG,FLL,197,63,0.32
2009,IAG,MYR,115,64,0.557
2010,IAH,ABQ,777,330,0.425
2011,IAH,AEX,902,297,0.329
2012,IAH,AGS,1,1,1.0
2013,IAH,AMA,876,298,0.34
2014,IAH,ANC,82,42,0.512
2015,IAH,ASE,384,158,0.411
2016,IAH,ATL,3905,1427,0.365
2017,IAH,AUS,2000,985,0.492
2018,IAH,BDL,2,0,0.0
2019,IAH,BFL,479,187,0.39
2020,IAH,BHM,1562,710,0.455
2021,IAH,BNA,1024,459,0.448
2022,IAH,BOI,323,157,0.486
2023,IAH,BOS,1642,646,0.393
2024,IAH,BRO,1261,422,0.335
2025,IAH,BTR,2268,801,0.353
2026,IAH,BWI,977,408,0.418
2027,IAH,BZN,20,14,0.7
2028,IAH,CAE,281,103,0.367
2029,IAH,CHS,568,321,0.565
2030,IAH,CLE,1155,446,0.386
2031,IAH,CLL,679,199,0.293
2032,IAH,CLT,3413,1378,0.404
2033,IAH,CMH,934,434,0.465
2034,IAH,COS,897,409,0.456
2035,IAH,CRP,2081,822,0.395
2036,IAH,CRW,283,130,0.459
2037,IAH,CVG,1060,502,0.474
2038,IAH,DAL,462,190,0.411
2039,IAH,DCA,1989,741,0.373
2040,IAH,DEN,4457,2037,0.457
2041,IAH,DFW,3850,1401,0.364
2042,IAH,DSM,433,210,0.485
2043,IAH,DTW,1886,940,0.498
2044,IAH,ECP,535,103,0.193
2045,IAH,EGE,133,43,0.323
2046,IAH,ELP,1524,665,0.436
2047,IAH,EWR,3162,1399,0.442
2048,IAH,FLL,1843,787,0.427
2049,IAH,GJT,256,79,0.309
2050,IAH,GPT,1228,494,0.402
2051,IAH,GRK,789,242,0.307
2052,IAH,GRR,319,165,0.517
2053,IAH,GSP,493,219,0.444
2054,IAH,GUC,68,37,0.544
2055,IAH,HDN,189,53,0.28
2056,IAH,HNL,330,202,0.612
2057,IAH,HOB,539,183,0.34
2058,IAH,HRL,1171,386,0.33
2059,IAH,HSV,865,334,0.386
2060,IAH,IAD,1294,504,0.389
2061,IAH,ICT,1033,422,0.409
2062,IAH,IND,967,400,0.414
2063,IAH,ISN,313,75,0.24
2064,IAH,JAC,98,34,0.347
2065,IAH,JAN,1892,682,0.36
2066,IAH,JAX,617,370,0.6
2067,IAH,LAS,2752,1034,0.376
2068,IAH,LAX,4388,2441,0.556
2069,IAH,LBB,1031,394,0.382
2070,IAH,LCH,1056,263,0.249
2071,IAH,LEX,306,111,0.363
2072,IAH,LFT,2104,750,0.356
2073,IAH,LGA,2245,949,0.423
2074,IAH,LIT,1745,674,0.386
2075,IAH,LRD,897,272,0.303
2076,IAH,MAF,2010,790,0.393
2077,IAH,MCI,1604,660,0.411
2078,IAH,MCO,2583,1262,0.489
2079,IAH,MEM,1700,798,0.469
2080,IAH,MFE,1891,769,0.407
2081,IAH,MIA,2844,1284,0.451
2082,IAH,MKE,846,383,0.453
2083,IAH,MLU,772,217,0.281
2084,IAH,MOB,1481,601,0.406
2085,IAH,MSN,1,1,1.0
2086,IAH,MSP,1649,648,0.393
2087,IAH,MSY,2723,1145,0.42
2088,IAH,MTJ,170,66,0.388
2089,IAH,OAK,175,100,0.571
2090,IAH,OKC,974,389,0.399
2091,IAH,OMA,1187,478,0.403
2092,IAH,ONT,465,235,0.505
2093,IAH,ORD,4212,1971,0.468
2094,IAH,ORF,273,163,0.597
2095,IAH,PBI,371,213,0.574
2096,IAH,PDX,763,289,0.379
2097,IAH,PHL,2141,825,0.385
2098,IAH,PHX,3251,1349,0.415
2099,IAH,PIA,256,66,0.258
2100,IAH,PIT,756,280,0.37
2101,IAH,PNS,1386,590,0.426
2102,IAH,PSP,290,108,0.372
2103,IAH,RAP,24,5,0.208
2104,IAH,RDU,480,228,0.475
2105,IAH,RIC,504,283,0.562
2106,IAH,RNO,31,12,0.387
2107,IAH,RSW,611,281,0.46
2108,IAH,SAN,2004,824,0.411
2109,IAH,SAT,2279,1078,0.473
2110,IAH,SAV,449,199,0.443
2111,IAH,SDF,720,328,0.456
2112,IAH,SEA,2192,876,0.4
2113,IAH,SFO,3404,1590,0.467
2114,IAH,SHV,1436,520,0.362
2115,IAH,SJC,456,167,0.366
2116,IAH,SJU,523,230,0.44
2117,IAH,SLC,2016,705,0.35
2118,IAH,SMF,642,237,0.369
2119,IAH,SNA,1488,494,0.332
2120,IAH,STL,855,371,0.434
2121,IAH,STT,22,8,0.364
2122,IAH,TPA,1742,794,0.456
2123,IAH,TUL,1776,692,0.39
2124,IAH,TUS,1136,479,0.422
2125,IAH,TYR,664,199,0.3
2126,IAH,TYS,766,329,0.43
2127,IAH,VPS,876,378,0.432
2128,IAH,XNA,1054,466,0.442
2129,ICT,ATL,959,236,0.246
2130,ICT,DAL,588,170,0.289
2131,ICT,DEN,872,340,0.39
2132,ICT,DFW,767,289,0.377
2133,ICT,IAH,1074,412,0.384
2134,ICT,LAS,332,92,0.277
2135,ICT,LAX,57,20,0.351
2136,ICT,MDW,596,208,0.349
2137,ICT,MSP,628,263,0.419
2138,ICT,ORD,2004,808,0.403
2139,IDA,DEN,888,333,0.375
2140,IDA,MSP,19,7,0.368
2141,IDA,SLC,1318,200,0.152
2142,ILG,MCO,61,31,0.508
2143,ILG,TPA,34,22,0.647
2144,ILM,ATL,1592,493,0.31
2145,ILM,CLT,161,48,0.298
2146,ILM,LGA,85,23,0.271
2147,IMT,MSP,331,85,0.257
2148,IMT,RHI,275,77,0.28
2149,IND,ATL,3791,1102,0.291
2150,IND,BOS,295,128,0.434
2151,IND,BWI,992,350,0.353
2152,IND,CLT,814,287,0.353
2153,IND,DAL,236,113,0.479
2154,IND,DCA,700,172,0.246
2155,IND,DEN,1832,611,0.334
2156,IND,DFW,1554,442,0.284
2157,IND,DTW,670,222,0.331
2158,IND,EWR,1200,502,0.418
2159,IND,FLL,302,67,0.222
2160,IND,HOU,529,159,0.301
2161,IND,IAD,23,5,0.217
2162,IND,IAH,891,364,0.409
2163,IND,JFK,140,63,0.45
2164,IND,LAS,857,201,0.235
2165,IND,LAX,783,228,0.291
2166,IND,LGA,154,49,0.318
2167,IND,MCI,612,195,0.319
2168,IND,MCO,1274,374,0.294
2169,IND,MSP,968,264,0.273
2170,IND,ORD,2907,1019,0.351
2171,IND,PHL,130,33,0.254
2172,IND,PHX,1292,414,0.32
2173,IND,RDU,65,17,0.262
2174,IND,RSW,743,230,0.31
2175,IND,SFO,311,60,0.193
2176,IND,SLC,86,13,0.151
2177,IND,TPA,895,282,0.315
2178,IND,TTN,2,1,0.5
2179,INL,BRD,2,1,0.5
2180,INL,HIB,314,96,0.306
2181,INL,MSP,240,90,0.375
2182,ISN,DEN,1134,371,0.327
2183,ISN,IAH,290,68,0.234
2184,ISN,MSP,1055,312,0.296
2185,ISP,BWI,1489,596,0.4
2186,ISP,FLL,548,124,0.226
2187,ISP,MCO,1029,302,0.293
2188,ISP,PBI,679,251,0.37
2189,ISP,RSW,27,6,0.222
2190,ISP,TPA,466,112,0.24
2191,ITH,DTW,30,14,0.467
2192,ITO,HNL,4785,1621,0.339
2193,ITO,LAX,256,77,0.301
2194,ITO,OGG,667,170,0.255
2195,JAC,ATL,100,20,0.2
